Date,Station,Showalter,SWEAT,K,TotalsTotals,CAPE,BulkRichardsonNumber,TempK
12Z 25Apr2015,72274,6.39,44.80,10.10,41.40,0.00,0.00,0.00,272.49
12Z 26Apr2015,72274,-1.44,291.99,33.90,57.40,295.38,4.04,4.32,279.68
12Z 27Apr2015,72274,3.76,53.39,26.50,46.20,0.00,0.00,0.00,274.91
12Z 28Apr2015,72274,3.18,52.00,23.10,46.20,0.00,0.00,0.00,272.03

12Z 29Apr2015,72274,7.07,66.01,12.70,38.40,0.00,0.00,0.00,266.40

12Z 30Apr2015,72274,8.11,46.02,6.30,33.20,0.00,0.00,0.00,259.79

12Z 01May2015,72274,6.19,18.01,5.10,38.60,0.00,0.00,0.00,264.29

12Z 02May2015,72274,1.01,62.40,15.90,49.40,0.00,0.00,0.00,270.52

12Z 03May2015,72274,-2.21,226.21,15.10,55.00,33.07,0.95,1.52,275.78

12Z 04May2015,72274,-2.16,233.81,36.80,52.40,394.01,5.66,7.30,282.79

12Z 05May2015,72274,-0.11,147.99,23.50,51.00,33.47,0.53,1.00,280.55

12Z 06May2015,72274,4.22,88.78,29.80,43.40,3.41,0.00,0.12,277.88

12Z 07May2015,72274,6.66,186.37,0.70,39.80,0.00,0.00,0.00,272.91

12Z 08May2015,72274,1.46,244.92,11.10,49.00,0.00,0.00,0.00,277.68

12Z 09May2015,72274,4.94,108.40,20.90,45.40,0.00,0.00,0.00,272.47

12Z 10May2015,72274,6.27,25.99,13.50,41.40,0.00,0.00,0.00,267.39

12Z 11May2015,72274,7.29,23.99,9.50,37.80,0.00,0.00,0.00,268.65

12Z 12May2015,72274,5.54,42.99,15.30,40.80,0.00,0.00,0.00,267.65

12Z 13May2015,72274,2.22,96.19,26.50,47.80,0.00,0.00,0.00,276.34

12Z 14May2015,72274,1.64,244.14,24.70,47.60,7.62,0.09,0.21,279.37

12Z 15May2015,72274,3.33,118.80,11.90,47.00,0.00,0.00,0.00,273.29

12Z 16May2015,72274,-0.54,251.00,33.50,54.50,180.41,1.52,1.84,280.17

12Z 17May2015,72274,4.73,39.59,-8.30,43.80,0.00,0.00,0.00,273.60

12Z 18May2015,72274,5.68,40.40,2.70,41.00,0.00,0.00,0.00,271.11

12Z 19May2015,72274,14.36,65.00,-13.70,24.00,0.00,0.00,0.00,259.19

12Z 20May2015,72274,8.84,43.98,1.10,34.80,0.00,0.00,0.00,268.70

12Z 21May2015,72274,6.55,73.00,-16.90,39.00,0.00,0.00,0.00,270.95

12Z 22May2015,72274,9.12,71.99,2.30,35.20,0.00,0.00,0.00,267.02

12Z 23May2015,72274,5.53,42.99,5.70,43.20,0.00,0.00,0.00,271.67

12Z 24May2015,72274,6.28,43.00,10.30,40.60,0.00,0.00,0.00,272.62

12Z 25May2015,72274,5.64,60.21,13.10,41.00,0.00,0.00,0.00,274.97

