anio,mes,dia,hora(utc),altura(mm)
2016,1,17,14,2965 
2016,1,17,15,3168 
2016,1,17,16,3091 
2016,1,17,17,2719 
2016,1,17,18,2108 
2016,1,17,19,1392 
2016,1,17,20,795 
2016,1,17,21,458 
2016,1,17,22,353 
2016,1,17,23,474 
2016,1,18,0,901 
2016,1,18,1,1581 
2016,1,18,2,2311 
2016,1,18,3,2908 
2016,1,18,4,3260 
2016,1,18,5,3301 
2016,1,18,6,3043 
2016,1,18,7,2561 
2016,1,18,8,2009 
2016,1,18,9,1546 
2016,1,18,10,1235 
2016,1,18,11,1106 
2016,1,18,12,1240 
2016,1,18,13,1641 
2016,1,18,14,2170 
2016,1,18,15,2672 
2016,1,18,16,3021 
2016,1,18,17,3098 
2016,1,18,18,2847 
2016,1,18,19,2293 
2016,1,18,20,1568 
2016,1,18,21,894 
2016,1,18,22,416 
2016,1,18,23,147 
2016,1,19,0,164 
2016,1,19,1,578 
2016,1,19,2,1320 
2016,1,19,3,2176 
2016,1,19,4,2953 
2016,1,19,5,3500 
2016,1,19,6,3704 
2016,1,19,7,3529 
2016,1,19,8,3022 
2016,1,19,9,2339 
2016,1,19,10,1682 
2016,1,19,11,1168 
2016,1,19,12,878 
2016,1,19,13,919 
2016,1,19,14,1304 
2016,1,19,15,1908 
2016,1,19,16,2558 
2016,1,19,17,3062 
2016,1,19,18,3253 
2016,1,19,19,3055 
2016,1,19,20,2479 
2016,1,19,21,1658 
2016,1,19,22,844 
2016,1,19,23,220 
2016,1,20,0,-144 
2016,1,20,1,-134 
2016,1,20,2,346 
2016,1,20,3,1205 
2016,1,20,4,2225 
2016,1,20,5,3183 
2016,1,20,6,3870 
2016,1,20,7,4138 
2016,1,20,8,3925 
2016,1,20,9,3278 
2016,1,20,10,2396 
2016,1,20,11,1548 
2016,1,20,12,900 
2016,1,20,13,549 
2016,1,20,14,602 
2016,1,20,15,1075 
2016,1,20,16,1834 
2016,1,20,17,2649 
2016,1,20,18,3263 
2016,1,20,19,3490 
2016,1,20,20,3255 
2016,1,20,21,2560 
2016,1,20,22,1573 
2016,1,20,23,616 
2016,1,21,0,-79 
2016,1,21,1,-432 
2016,1,21,2,-342 
2016,1,21,3,270 
2016,1,21,4,1296 
2016,1,21,5,2494 
2016,1,21,6,3579 
2016,1,21,7,4298 
2016,1,21,8,4498 
2016,1,21,9,4123 
2016,1,21,10,3251 
2016,1,21,11,2164 
2016,1,21,12,1198 
2016,1,21,13,521 
2016,1,21,14,216 
2016,1,21,15,386 
2016,1,21,16,1037 
2016,1,21,17,1982 
2016,1,21,18,2918 
2016,1,21,19,3554 
2016,1,21,20,3718 
2016,1,21,21,3341 
2016,1,21,22,2444 
2016,1,21,23,1283 
2016,1,22,0,261 
2016,1,22,1,-395 
2016,1,22,2,-646 
2016,1,22,3,-404 
2016,1,22,4,401 
2016,1,22,5,1626 
2016,1,22,6,2957 
2016,1,22,7,4057 
2016,1,22,8,4672 
2016,1,22,9,4678 
2016,1,22,10,4048 
2016,1,22,11,2931 
2016,1,22,12,1706 
2016,1,22,13,734 
2016,1,22,14,140 
2016,1,22,15,-19 
2016,1,22,16,357 
2016,1,22,17,1228 
2016,1,22,18,2324 
2016,1,22,19,3286 
2016,1,22,20,3836 
2016,1,22,21,3833 
2016,1,22,22,3223 
2016,1,22,23,2102 
2016,1,23,0,843 
2016,1,23,1,-124 
2016,1,23,2,-647 
2016,1,23,3,-730 
2016,1,23,4,-270 
2016,1,23,5,773 
2016,1,23,6,2164 
2016,1,23,7,3516 
2016,1,23,8,4488 
2016,1,23,9,4877 
2016,1,23,10,4601 
2016,1,23,11,3684 
2016,1,23,12,2379 
2016,1,23,13,1139 
2016,1,23,14,281 
2016,1,23,15,-137 
2016,1,23,16,-69 
2016,1,23,17,563 
2016,1,23,18,1629 
2016,1,23,19,2776 
2016,1,23,20,3644 
2016,1,23,21,4002 
2016,1,23,22,3745 
2016,1,23,23,2872 
2016,1,24,0,1595 
2016,1,24,1,369 
2016,1,24,2,-436 
2016,1,24,3,-770 
2016,1,24,4,-629 
2016,1,24,5,101 
2016,1,24,6,1363 
2016,1,24,7,2806 
2016,1,24,8,4026 
2016,1,24,9,4748 
2016,1,24,10,4830 
2016,1,24,11,4237 
2016,1,24,12,3079 
2016,1,24,13,1714 
2016,1,24,14,597 
2016,1,24,15,-51 
2016,1,24,16,-228 
2016,1,24,17,114 
2016,1,24,18,987 
2016,1,24,19,2150 
2016,1,24,20,3215 
2016,1,24,21,3875 
2016,1,24,22,3963 
2016,1,24,23,3423 
2016,1,25,0,2345 
2016,1,25,1,1048 
2016,1,25,2,-18 
2016,1,25,3,-600 
2016,1,25,4,-703 
2016,1,25,5,-290 
2016,1,25,6,703 
2016,1,25,7,2071 
2016,1,25,8,3398 
2016,1,25,9,4354 
2016,1,25,10,4750 
2016,1,25,11,4496 
2016,1,25,12,3623 
2016,1,25,13,2347 
2016,1,25,14,1078 
2016,1,25,15,194 
2016,1,25,16,-188 
2016,1,25,17,-89 
2016,1,25,18,520 
2016,1,25,19,1545 
2016,1,25,20,2658 
2016,1,25,21,3513 
2016,1,25,22,3892 
2016,1,25,23,3690 
2016,1,26,0,2917 
2016,1,26,1,1762 
2016,1,26,2,589 
2016,1,26,3,-232 
2016,1,26,4,-560 
2016,1,26,5,-399 
2016,1,26,6,289 
2016,1,26,7,1445 
2016,1,26,8,2741 
2016,1,26,9,3803 
2016,1,26,10,4420 
2016,1,26,11,4470 
2016,1,26,12,3911 
2016,1,26,13,2867 
2016,1,26,14,1634 
2016,1,26,15,591 
2016,1,26,16,-0 
2016,1,26,17,-98 
2016,1,26,18,271 
2016,1,26,19,1072 
2016,1,26,20,2099 
2016,1,26,21,3017 
2016,1,26,22,3584 
2016,1,26,23,3672 
2016,1,27,0,3227 
2016,1,27,1,2336 
2016,1,27,2,1253 
2016,1,27,3,313 
2016,1,27,4,-225 
2016,1,27,5,-281 
2016,1,27,6,144 
2016,1,27,7,1026 
2016,1,27,8,2171 
2016,1,27,9,3227 
2016,1,27,10,3944 
2016,1,27,11,4212 
2016,1,27,12,3947 
2016,1,27,13,3177 
2016,1,27,14,2117 
2016,1,27,15,1072 
2016,1,27,16,324 
2016,1,27,17,33 
2016,1,27,18,204 
2016,1,27,19,780 
2016,1,27,20,1634 
2016,1,27,21,2506 
2016,1,27,22,3141 
2016,1,27,23,3418 
2016,1,28,0,3269 
2016,1,28,1,2682 
2016,1,28,2,1811 
2016,1,28,3,921 
2016,1,28,4,267 
2016,1,28,5,18 
2016,1,28,6,221 
2016,1,28,7,840 
2016,1,28,8,1760 
2016,1,28,9,2720 
2016,1,28,10,3444 
2016,1,28,11,3815 
2016,1,28,12,3777 
2016,1,28,13,3282 
2016,1,28,14,2443 
2016,1,28,15,1517 
2016,1,28,16,740 
2016,1,28,17,291 
2016,1,28,18,271 
2016,1,28,19,649 
2016,1,28,20,1306 
2016,1,28,21,2056 
2016,1,28,22,2674 
2016,1,28,23,3029 
2016,1,29,0,3084 
2016,1,29,1,2793 
2016,1,29,2,2187 
2016,1,29,3,1455 
2016,1,29,4,822 
2016,1,29,5,458 
2016,1,29,6,466 
2016,1,29,7,851 
2016,1,29,8,1525 
2016,1,29,9,2317 
2016,1,29,10,2990 
2016,1,29,11,3386 
2016,1,29,12,3471 
2016,1,29,13,3215 
2016,1,29,14,2621 
2016,1,29,15,1859 
2016,1,29,16,1153 
2016,1,29,17,646 
2016,1,29,18,457 
2016,1,29,19,640 
2016,1,29,20,1108 
2016,1,29,21,1698 
2016,1,29,22,2239 
2016,1,29,23,2605 
2016,1,30,0,2760 
2016,1,30,1,2696 
2016,1,30,2,2374 
2016,1,30,3,1859 
2016,1,30,4,1339 
2016,1,30,5,970 
2016,1,30,6,848 
2016,1,30,7,1023 
2016,1,30,8,1456 
2016,1,30,9,2029 
2016,1,30,10,2587 
2016,1,30,11,2970 
2016,1,30,12,3109 
2016,1,30,13,3010 
2016,1,30,14,2661 
2016,1,30,15,2106 
2016,1,30,16,1515 
2016,1,30,17,1037 
2016,1,30,18,752 
2016,1,30,19,745 
2016,1,30,20,1016 
2016,1,30,21,1429 
2016,1,30,22,1845 
2016,1,30,23,2177 
2016,1,31,0,2379 
2016,1,31,1,2451 
2016,1,31,2,2376 
2016,1,31,3,2126 
2016,1,31,4,1780 
2016,1,31,5,1483 
2016,1,31,6,1324 
2016,1,31,7,1340 
2016,1,31,8,1542 
2016,1,31,9,1872 
2016,1,31,10,2240 
2016,1,31,11,2553 
2016,1,31,12,2720 
2016,1,31,13,2716 
2016,1,31,14,2562 
2016,1,31,15,2253 
2016,1,31,16,1833 
2016,1,31,17,1426 
2016,1,31,18,1122 
2016,1,31,19,974 
2016,1,31,20,1035 
2016,1,31,21,1252 
2016,1,31,22,1503 
2016,1,31,23,1738 
2016,2,1,0,1949 
2016,2,1,1,2109 
2016,2,1,2,2211 
2016,2,1,3,2227 
2016,2,1,4,2125 
2016,2,1,5,1966 
2016,2,1,6,1841 
2016,2,1,7,1780 
2016,2,1,8,1791 
2016,2,1,9,1872 
2016,2,1,10,1996 
2016,2,1,11,2145 
2016,2,1,12,2285 
2016,2,1,13,2353 
2016,2,1,14,2341 
2016,2,1,15,2263 
2016,2,1,16,2085 
2016,2,1,17,1818 
2016,2,1,18,1546 
2016,2,1,19,1326 
2016,2,1,20,1200 
2016,2,1,21,1190 
2016,2,1,22,1241 
2016,2,1,23,1315 
2016,2,2,0,1457 
2016,2,2,1,1670 
2016,2,2,2,1905 
2016,2,2,3,2134 
2016,2,2,4,2312 
2016,2,2,5,2382 
2016,2,2,6,2365 
2016,2,2,7,2304 
2016,2,2,8,2200 
2016,2,2,9,2062 
2016,2,2,10,1925 
2016,2,2,11,1831 
2016,2,2,12,1828 
2016,2,2,13,1906 
2016,2,2,14,2006 
2016,2,2,15,2111 
2016,2,2,16,2193 
2016,2,2,17,2164 
2016,2,2,18,2003 
2016,2,2,19,1775 
2016,2,2,20,1527 
2016,2,2,21,1296 
2016,2,2,22,1111 
2016,2,2,23,979 
2016,2,3,0,960 
2016,2,3,1,1128 
2016,2,3,2,1452 
2016,2,3,3,1851 
2016,2,3,4,2277 
2016,2,3,5,2639 
2016,2,3,6,2834 
2016,2,3,7,2854 
2016,2,3,8,2719 
2016,2,3,9,2434 
2016,2,3,10,2057 
2016,2,3,11,1693 
2016,2,3,12,1452 
2016,2,3,13,1411 
2016,2,3,14,1554 
2016,2,3,15,1808 
2016,2,3,16,2117 
2016,2,3,17,2374 
2016,2,3,18,2442 
2016,2,3,19,2298 
2016,2,3,20,2003 
2016,2,3,21,1604 
2016,2,3,22,1169 
2016,2,3,23,793 
2016,2,4,0,558 
2016,2,4,1,565 
2016,2,4,2,866 
2016,2,4,3,1384 
2016,2,4,4,2014 
2016,2,4,5,2656 
2016,2,4,6,3149 
2016,2,4,7,3361 
2016,2,4,8,3283 
2016,2,4,9,2940 
2016,2,4,10,2385 
2016,2,4,11,1763 
2016,2,4,12,1250 
2016,2,4,13,981 
2016,2,4,14,1027 
2016,2,4,15,1353 
2016,2,4,16,1850 
2016,2,4,17,2377 
2016,2,4,18,2750 
2016,2,4,19,2820 
2016,2,4,20,2584 
2016,2,4,21,2104 
2016,2,4,22,1459 
2016,2,4,23,810 
2016,2,5,0,326 
2016,2,5,1,111 
2016,2,5,2,249 
2016,2,5,3,762 
2016,2,5,4,1542 
2016,2,5,5,2424 
2016,2,5,6,3222 
2016,2,5,7,3724 
2016,2,5,8,3815 
2016,2,5,9,3511 
2016,2,5,10,2870 
2016,2,5,11,2037 
2016,2,5,12,1253 
2016,2,5,13,719 
2016,2,5,14,547 
2016,2,5,15,792 
2016,2,5,16,1389 
2016,2,5,17,2152 
2016,2,5,18,2839 
2016,2,5,19,3221 
2016,2,5,20,3180 
2016,2,5,21,2738 
2016,2,5,22,1979 
2016,2,5,23,1078 
2016,2,6,0,303 
2016,2,6,1,-161 
2016,2,6,2,-252 
2016,2,6,3,95 
2016,2,6,4,890 
2016,2,6,5,1961 
2016,2,6,6,3040 
2016,2,6,7,3863 
2016,2,6,8,4230 
2016,2,6,9,4077 
2016,2,6,10,3456 
2016,2,6,11,2494 
2016,2,6,12,1459 
2016,2,6,13,650 
2016,2,6,14,222 
2016,2,6,15,251 
2016,2,6,16,780 
