PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
 23.3,25298,-51.6,-84.6,1, 0.01,230, 38,648.2,648.4,648.3
 22.3,25603,-52.1,-85.1,1, 0.01,230, 35,655.4,655.5,655.4
 21.2,25908,-52.7,-85.7,1, 0.01,250, 36,662.5,662.7,662.5
 20.9,26015,-52.9,-85.9,1, 0.01,246, 38,665.1,665.2,665.1
 20.0,26300,-51.9,-84.9,1, 0.01,235, 45,676.6,676.7,676.6
 19.3,26531,-51.9,-84.9,1, 0.02,236, 48,683.5,683.6,683.5
 19.3,26518,-51.9,-84.9,1, 0.02,235, 48,683.1,683.3,683.1
 18.5,26822,-49.9,-83.7,1, 0.02,260, 48,698.5,698.7,698.5
 18.2,26913,-49.3,-83.3,1, 0.02,260, 48,703.2,703.4,703.2
 17.3,27244,-51.1,-85.1,1, 0.02,260, 48,707.7,707.9,707.7
 16.8,27432,-49.8,-84.2,1, 0.02,260, 48,717.7,717.9,717.7
 15.3,28042,-45.6,-81.2,1, 0.04,260, 46,750.8,751.2,750.8
 14.9,28229,-44.3,-80.3,1, 0.04,245, 40,761.2,761.7,761.2
 14.6,28346,-44.5,-80.2,1, 0.04,235, 36,764.4,764.9,764.4
 13.9,28693,-45.1,-80.1,1, 0.05,235, 39,773.7,774.3,773.8
 13.0,29142,-42.5,-78.5,1, 0.07,235, 43,797.7,798.5,797.7
 11.9,29736,-44.5,-80.5,1, 0.05,235, 49,811.0,811.6,811.0
 11.7,29850,-43.1,-79.1,1, 0.07,235, 50,819.9,820.7,820.0
 10.9,30327,-43.5,-79.5,1, 0.07,235, 55,835.2,836.0,835.3
 10.7,30480,-41.2,-78.1,1, 0.08,235, 56,849.2,850.3,849.3
 10.7,30452,-41.1,-78.1,1, 0.08,235, 56,848.4,849.5,848.5
 10.0,30910,-42.1,-78.1,1, 0.09,240, 60,861.3,862.4,861.3
  9.9,30978,-42.1,-78.1,1, 0.09,242, 60,863.7,864.9,863.8
  9.8,31047,-41.6,-77.8,1, 0.10,245, 60,868.2,869.4,868.2
  9.7,31090,-41.3,-77.6,1, 0.10,245, 60,870.9,872.2,871.0
  9.4,31330,-39.5,-76.5,1, 0.12,247, 59,886.5,888.1,886.5
  8.9,31699,-40.0,-77.0,1, 0.12,250, 58,898.4,900.0,898.5
  8.6,31938,-40.3,-77.3,1, 0.12,906.2,907.8,906.3
